taxid	Domain	Phylum	Class	Order	Family	Genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Hungateiclostridium	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Hungateiclostridium
Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;NA;NA	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	NA	NA
Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;NA	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ST-12K33;NA	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	ST-12K33	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	uncultured
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oceanirhabdus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;NA	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
Bacteria;Planctomycetota;Phycisphaerae;MSBL9;4572-13;NA	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	4572-13	NA
Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;NA;NA	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Actibacter	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Cocleimonas
Bacteria;WOR-1;NA;NA;NA;NA	Bacteria	WOR-1	NA	NA	NA	NA
Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae;Caminibacter	Bacteria	Campylobacterota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	uncultured
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Jeotgalicoccus	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;NA	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade
Bacteria;Spirochaetota;uncultured;NA;NA;NA	Bacteria	Spirochaetota	uncultured	NA	NA	NA
Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;MAT-CR-H6-H10;NA	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	MAT-CR-H6-H10	NA
Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter	Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Cohaesibacter
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudahrensia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;S15A-MN91;NA	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	S15A-MN91	NA
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Geopsychrobacter	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Geopsychrobacter
Bacteria;Chloroflexi;Dehalococcoidia;GIF9;AB-539-J10;NA	Bacteria	Chloroflexi	Dehalococcoidia	GIF9	AB-539-J10	NA
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Natronoflexus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus
Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus
Bacteria;Patescibacteria;Microgenomatia;NA;NA;NA	Bacteria	Patescibacteria	Microgenomatia	NA	NA	NA
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;[Anaerorhabdus] furcosa group	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus] furcosa group
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Z195MB87	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Z195MB87
Bacteria;Chloroflexi;Dehalococcoidia;DscP2;NA;NA	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	NA	NA
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	uncultured
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Roseitalea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Roseitalea
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;uncultured	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	uncultured
Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;TG3;NA	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	TG3	NA
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;uncultured	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	uncultured
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Actibacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium
Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geotalea
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;NA;NA	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	NA	NA
Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter
Bacteria;Patescibacteria;ABY1;Candidatus Kerfeldbacteria;NA;NA	Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	NA	NA
Bacteria;Chloroflexi;Anaerolineae;uncultured;NA;NA	Bacteria	Chloroflexi	Anaerolineae	uncultured	NA	NA
Bacteria;Patescibacteria;WWE3;NA;NA;NA	Bacteria	Patescibacteria	WWE3	NA	NA	NA
Bacteria;Nitrospinota;P9X2b3D02;NA;NA;NA	Bacteria	Nitrospinota	P9X2b3D02	NA	NA	NA
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Oscillatoriaceae;Planktothricoides SR001	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae	Planktothricoides SR001
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	NA
Bacteria;NKB15;NA;NA;NA;NA	Bacteria	NKB15	NA	NA	NA	NA
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Calorithrix	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Breoghania	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Breoghania
Bacteria;Armatimonadota;uncultured;NA;NA;NA	Bacteria	Armatimonadota	uncultured	NA	NA	NA
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;koll11;NA	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	koll11	NA
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Blvii28 wastewater-sludge group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	Blvii28 wastewater-sludge group
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured
Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	uncultured
Bacteria;Dependentiae;Babeliae;Babeliales;Babeliaceae;NA	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Sedimenticola	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola
Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Anderseniella
Bacteria;Firmicutes;Negativicutes;uncultured;NA;NA	Bacteria	Firmicutes	Negativicutes	uncultured	NA	NA
Bacteria;Patescibacteria;Parcubacteria;NA;NA;NA	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Halocynthiibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Halocynthiibacter
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Acetomicrobium
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Dinghuibacter	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Aliiroseovarius	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus Amoebophilus	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured
Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154;NA;NA	Bacteria	Proteobacteria	Gammaproteobacteria	Run-SP154	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Schleiferiaceae;Schleiferia	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	Schleiferia
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;Brassicibacter	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	Brassicibacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Hoeflea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Hoeflea
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;uncultured;NA	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	uncultured	NA
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 3	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 3
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus
Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Marinilabilia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Marinilabilia
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfatibacillum	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatibacillum
Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;NA	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade	NA
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;uncultured	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured
Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	uncultured
Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Pelagibius
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Thermobacillus	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Thermobacillus
Bacteria;Patescibacteria;Parcubacteria;Candidatus Campbellbacteria;NA;NA	Bacteria	Patescibacteria	Parcubacteria	Candidatus Campbellbacteria	NA	NA
Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;YC-ZSS-LKJ63	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	YC-ZSS-LKJ63
Bacteria;Firmicutes;Limnochordia;NA;NA;Hydrogenispora	Bacteria	Firmicutes	Limnochordia	NA	NA	Hydrogenispora
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae;Pelotomaculum	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Pelotomaculum
Bacteria;Acidobacteriota;Subgroup 26;NA;NA;NA	Bacteria	Acidobacteriota	Subgroup 26	NA	NA	NA
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 12	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 12
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;uncultured;NA	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	uncultured	NA
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter
Bacteria;Myxococcota;bacteriap25;NA;NA;NA	Bacteria	Myxococcota	bacteriap25	NA	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;3PJM14	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	3PJM14
Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 11	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 11
Bacteria;Acidobacteriota;Acidobacteriae;TSBb06;NA;NA	Bacteria	Acidobacteriota	Acidobacteriae	TSBb06	NA	NA
Bacteria;Acidobacteriota;Subgroup 22;NA;NA;NA	Bacteria	Acidobacteriota	Subgroup 22	NA	NA	NA
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Fretibacterium
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae UCG-001	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae UCG-001
Bacteria;Chloroflexi;Dehalococcoidia;FS117-23B-02;NA;NA	Bacteria	Chloroflexi	Dehalococcoidia	FS117-23B-02	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Marinicella	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Marinicella
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Eudoraea	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Eudoraea
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Abyssivirga	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Abyssivirga
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	uncultured
Bacteria;Nitrospinota;MT5B39;NA;NA;NA	Bacteria	Nitrospinota	MT5B39	NA	NA	NA
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Tepidibacter	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Tepidibacter
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Oceanisphaera	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Oceanisphaera
Bacteria;Spirochaetota;V2072-189E03;NA;NA;NA	Bacteria	Spirochaetota	V2072-189E03	NA	NA	NA
Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;Gimesia	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Gimesia
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter	Bacteria	Firmicutes	Clostridia	Caldicoprobacterales	Caldicoprobacteraceae	Caldicoprobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albirhodobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albirhodobacter
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rubripirellula	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula
Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;PBS-18;NA	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	PBS-18	NA
Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halocella	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	Halocella
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	uncultured
Bacteria;Firmicutes;D8A-2;NA;NA;NA	Bacteria	Firmicutes	D8A-2	NA	NA	NA
Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;EF100-94H03;NA	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	EF100-94H03	NA
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Bacteria;Planctomycetota;Phycisphaerae;B103G10;NA;NA	Bacteria	Planctomycetota	Phycisphaerae	B103G10	NA	NA
Bacteria;Patescibacteria;Gracilibacteria;NA;NA;NA	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
Bacteria;Chloroflexi;Dehalococcoidia;GIF9;NA;NA	Bacteria	Chloroflexi	Dehalococcoidia	GIF9	NA	NA
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	uncultured
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;NA	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	NA
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;Clostridiisalibacter	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	Clostridiisalibacter
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Candidatus Thiodiazotropha	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Candidatus Thiodiazotropha
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Ika33;NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Ika33	NA
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;uncultured	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	uncultured
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;PRD18C08;NA	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	PRD18C08	NA
Bacteria;Verrucomicrobiota;Verrucomicrobiae;LD1-PB3;NA;NA	Bacteria	Verrucomicrobiota	Verrucomicrobiae	LD1-PB3	NA	NA
Bacteria;Chloroflexi;KD4-96;NA;NA;NA	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina
